"FileName="BV_TWEM_20220531_1514
"FileDate="20220531
"FileTime="15:14
"FileExpiration="20220601 15:14
"FileSequence=458"
"DataDelimiter= ,"

TRADE DATE EXECUTION TIME,PUBLICATION DATE,VENUE OF EXECUTION,INSTRUMENT ID TYPE,ISIN,PRICE,MONE,PERC,YIEL,BAPO,PRICE NOTATION,PRICE CURRENCY,QUANTITY,QUANTITY TYPE,QUANTITY IN MEASUREMENT UNIT,QUANTITY NOTATION MEASUREMENT UNIT,NOTIONAL AMOUNT,NOTIONAL CURRENCY,EMISSION ALLOWANCE TYPE,PUBLICATION ID,ORGINAL ID,TRANSACTION TO BE CLEARED,TRANSCATION COUNT,FLAGS,SUPPLEMENTARY DEFERRAL FLAGS,NO SUBMITTED TRANS (TPCC),SUBMITTED NOTIONAL (TPCC),SUBMITTED NOTIONAL 2 (TPCC),NOTIONAL CURRENCY 2 (TPCC),NO TERMINATED/REDUCED TRANS (TPCC),TERMINATED/REDUCED NOTIONAL (TPCC),TERMINATED/REDUCED NOTIONAL 2 (TPCC),REPLACEMENT NOTIONAL (TPCC),REPLACEMENT NOTIONAL 2 (TPCC),SUB ASSET CLASSES (TPCC),REPLACEMENT SUB ASSET CLASSES (TPCC),REPLACEMENT CURRENCIES (TPCC),NO REPLACEMENT TRANS (TPCC)
2022-05-31T15:13:59.773Z,2022-05-31 15:14:01,TWEM,ISIN,BE0000339482,100.021,,,,,PERC,EUR,83000,Units,0,,83000,EUR,,'3605455857640282387,,N,,,,,,,,,,,,,,,,,
2022-05-31T15:14:01.739Z,2022-05-31 15:14:02,TWEM,ISIN,DE0001030567,109.237,,,,,PERC,EUR,552000,Units,0,,552000,EUR,,'3605455857640282388,,N,,,,,,,,,,,,,,,,,
2022-05-31T15:14:01.334Z,2022-05-31 15:14:02,TWEM,ISIN,NL0012818504,98.012,,,,,PERC,EUR,50000,Units,0,,50000,EUR,,'3605455857640282389,,N,,,,,,,,,,,,,,,,,
2022-05-31T15:14:01.376Z,2022-05-31 15:14:02,TWEM,ISIN,DE0001104875,99.389,,,,,PERC,EUR,1605000,Units,0,,1605000,EUR,,'3605455857640282390,,N,,,,,,,,,,,,,,,,,
2022-05-31T15:14:01.346Z,2022-05-31 15:14:03,TWEM,ISIN,IT0005024234,105.507,,,,,PERC,EUR,216000,Units,0,,216000,EUR,,'3605455857640282391,,N,,,,,,,,,,,,,,,,,
2022-05-31T15:14:03.400Z,2022-05-31 15:14:04,TWEM,ISIN,ES0000012B62,100.143,,,,,PERC,EUR,652000,Units,0,,652000,EUR,,'3605455857640282392,,N,,,,,,,,,,,,,,,,,
2022-05-31T15:14:02.332Z,2022-05-31 15:14:04,TWEM,ISIN,IT0005282527,99.731,,,,,PERC,EUR,169000,Units,0,,169000,EUR,,'3605455857640282393,,N,,,,,,,,,,,,,,,,,
2022-05-31T15:14:03.345Z,2022-05-31 15:14:04,TWEM,ISIN,ES00000128E2,107.677,,,,,PERC,EUR,33000,Units,0,,33000,EUR,,'3605455857640282394,,N,,,,,,,,,,,,,,,,,
2022-05-31T15:14:03.241Z,2022-05-31 15:14:04,TWEM,ISIN,NL0015000B11,77.377,,,,,PERC,EUR,220000,Units,0,,220000,EUR,,'3605455857640282395,,N,,,,,,,,,,,,,,,,,
2022-05-31T15:14:03.344Z,2022-05-31 15:14:04,TWEM,ISIN,IT0005480980,75.135,,,,,PERC,EUR,50000,Units,0,,50000,EUR,,'3605455857640282396,,N,,,,,,,,,,,,,,,,,
